品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
三星Samsung,CIGT160808XMR24MN#,CIGT160808XM,0603,,,,,,Power Inductor,Isat Max: 4.1A | Itemp Max: 4.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.8mm,L=0.24 | Tol=20 | Isat=4.1A | Itemp=4.3A | DCR=0.024Ω | 1.60±0.20mm x 0.80±0.20mm x 0.8mm,Active,1.6,0.8,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.3A,0.024Ω,,0.24,UH,20,4.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.8mm
三星Samsung,CIGW201610GL2R2ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 2.1A | Itemp Max: 2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2.1A | Itemp=2A | DCR=0.1Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2A,0.1Ω,,2.2,UH,20,2.1A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GH4R7ML#,CIGW201610GH,0806,,,,,,Power Inductor,Isat Max: 1.8A | Itemp Max: 1.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=4.7 | Tol=20 | Isat=1.8A | Itemp=1.1A | DCR=0.279Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.1A,0.279Ω,,4.7,UH,20,1.8A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GL4R7ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 1.4A | Itemp Max: 1.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=4.7 | Tol=20 | Isat=1.4A | Itemp=1.3A | DCR=0.24Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.3A,0.24Ω,,4.7,UH,20,1.4A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201612EH4R7ML#,CIGW201612EH,0806,,,,,,Power Inductor,Isat Max: 2A | Itemp Max: 1.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1.2mm,L=4.7 | Tol=20 | Isat=2A | Itemp=1.1A | DCR=0.21Ω | 2.00±0.20mm x 1.60±0.20mm x 1.2mm,Active,2,1.6,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.1A,0.21Ω,,4.7,UH,20,2A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1.2mm
三星Samsung,CIGW252012TM1R0ML#,CIGW252012TM,1008,,,,,,Power Inductor,Isat Max: 4.5A | Itemp Max: 4.8A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1.2mm,L=1 | Tol=20 | Isat=4.5A | Itemp=4.8A | DCR=0.027Ω | 2.50±0.20mm x 2.00±0.20mm x 1.2mm,Active,2.5,2,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.8A,0.027Ω,,1,UH,20,4.5A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1.2mm
三星Samsung,CIGW252012TM1R5ML#,CIGW252012TM,1008,,,,,,Power Inductor,Isat Max: 3.4A | Itemp Max: 4.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1.2mm,L=1.5 | Tol=20 | Isat=3.4A | Itemp=4.2A | DCR=0.04Ω | 2.50±0.20mm x 2.00±0.20mm x 1.2mm,Active,2.5,2,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.2A,0.04Ω,,1.5,UH,20,3.4A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1.2mm
三星Samsung,CIGW322512KMR47ML#,CIGW322512KM,1210,,,,,,Power Inductor,Isat Max: 6.3A | Itemp Max: 8.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1210,3.20±0.20mm x 2.50±0.20mm x 1.2mm,L=0.47 | Tol=20 | Isat=6.3A | Itemp=8.1A | DCR=0.0145Ω | 3.20±0.20mm x 2.50±0.20mm x 1.2mm,Active,3.2,2.5,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,8.1A,0.0145Ω,,0.47,UH,20,6.3A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,3.20±0.20mm x 2.50±0.20mm x 1.2mm
三星Samsung,CIGW322512KMR68ML#,CIGW322512KM,1210,,,,,,Power Inductor,Isat Max: 5.1A | Itemp Max: 6.9A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1210,3.20±0.20mm x 2.50±0.20mm x 1.2mm,L=0.68 | Tol=20 | Isat=5.1A | Itemp=6.9A | DCR=0.0185Ω | 3.20±0.20mm x 2.50±0.20mm x 1.2mm,Active,3.2,2.5,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,6.9A,0.0185Ω,,0.68,UH,20,5.1A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,3.20±0.20mm x 2.50±0.20mm x 1.2mm
三星Samsung,CIGW404012GMR47ML#,CIGW404012GM,1616,,,,,,Power Inductor,Isat Max: 9A | Itemp Max: 6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1616,4.10±0.20mm x 3.80±0.20mm x 1.2mm,L=0.47 | Tol=20 | Isat=9A | Itemp=6A | DCR=0.017Ω | 4.10±0.20mm x 3.80±0.20mm x 1.2mm,Active,4.1,3.8,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,6A,0.017Ω,,0.47,UH,20,9A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,4.10±0.20mm x 3.80±0.20mm x 1.2mm
三星Samsung,CIGW404020KMR47ML#,CIGW404020KM,1616,,,,,,Power Inductor,Isat Max: 12.8A | Itemp Max: 12.7A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1616,4.10±0.20mm x 4.10±0.20mm x 2.0mm,L=0.47 | Tol=20 | Isat=12.8A | Itemp=12.7A | DCR=0.0069Ω | 4.10±0.20mm x 4.10±0.20mm x 2.0mm,Active,4.1,4.1,2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,12.7A,0.0069Ω,,0.47,UH,20,12.8A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,4.10±0.20mm x 4.10±0.20mm x 2.0mm
三星Samsung,CIGW404020KMR68ML#,CIGW404020KM,1616,,,,,,Power Inductor,Isat Max: 10.1A | Itemp Max: 10.8A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1616,4.10±0.20mm x 4.10±0.20mm x 2.0mm,L=0.68 | Tol=20 | Isat=10.1A | Itemp=10.8A | DCR=0.0084Ω | 4.10±0.20mm x 4.10±0.20mm x 2.0mm,Active,4.1,4.1,2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,10.8A,0.0084Ω,,0.68,UH,20,10.1A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,4.10±0.20mm x 4.10±0.20mm x 2.0mm
三星Samsung,CIGW404020KM1R0ML#,CIGW404020KM,1616,,,,,,Power Inductor,Isat Max: 7.9A | Itemp Max: 9.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1616,4.10±0.20mm x 4.10±0.20mm x 2.0mm,L=1 | Tol=20 | Isat=7.9A | Itemp=9.3A | DCR=0.0155Ω | 4.10±0.20mm x 4.10±0.20mm x 2.0mm,Active,4.1,4.1,2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,9.3A,0.0155Ω,,1,UH,20,7.9A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,4.10±0.20mm x 4.10±0.20mm x 2.0mm
三星Samsung,CIGW404020KM1R2ML#,CIGW404020KM,1616,,,,,,Power Inductor,Isat Max: 7.7A | Itemp Max: 8.5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,1616,4.10±0.20mm x 4.10±0.20mm x 2.0mm,L=1.2 | Tol=20 | Isat=7.7A | Itemp=8.5A | DCR=0.0165Ω | 4.10±0.20mm x 4.10±0.20mm x 2.0mm,Active,4.1,4.1,2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,8.5A,0.0165Ω,,1.2,UH,20,7.7A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,4.10±0.20mm x 4.10±0.20mm x 2.0mm
